comment_id,reason
45147951,Offers personal services rather than a hiring advertisement
45095800,Discussion about location requirements
45094359,Applicant discussion
45097132,Discussion about downvotes
45095959,Applicant discussion
49686668,Job seeker profile rather than a hiring advertisement
49625444,Job seeker profile rather than a hiring advertisement
49532941,Promotes a thread navigation tool
49523896,Discussion about four-day work weeks
49523041,Insufficient text to identify a hiring advertisement
