skill,n_2025,share_2025,n_2026,share_2026,change_pp,p_value
Python,79,0.26421404682274247,71,0.2720306513409962,0.7816604518253722,0.9102497526571278
TypeScript,84,0.2809364548494983,54,0.20689655172413793,-7.403990312536038,0.05361244144320004
React,82,0.27424749163879597,53,0.20306513409961685,-7.1182357539179115,0.06210892985880041
Postgres,46,0.15384615384615385,44,0.1685823754789272,1.4736221632773354,0.7200938601781623
LLMs,39,0.13043478260869565,41,0.15708812260536398,2.665333999666833,0.4364998780274411
AWS,41,0.13712374581939799,35,0.13409961685823754,-0.3024128961160444,0.9999999999999986
Kubernetes,27,0.0903010033444816,26,0.09961685823754789,0.9315854893066287,0.8173181926926754
Rust,20,0.06688963210702341,21,0.08045977011494253,1.357013800791912,0.6509977885652315
Docker,16,0.05351170568561873,20,0.07662835249042145,2.311664680480272,0.34724155797070233
Go,26,0.08695652173913043,17,0.06513409961685823,-2.1822422122272203,0.41882043645358363
Terraform,17,0.056856187290969896,16,0.06130268199233716,0.4446494701367265,0.965671352119338
C++,17,0.056856187290969896,12,0.04597701149425287,-1.0879175796717024,0.6977035329048985
JavaScript,10,0.033444816053511704,12,0.04597701149425287,1.253219544074117,0.5867928597548631
SQL,11,0.03678929765886288,12,0.04597701149425287,0.9187713835389993,0.7390623256572345
Java,11,0.03678929765886288,8,0.03065134099616858,-0.6137956662694298,NA
Machine learning,17,0.056856187290969896,8,0.03065134099616858,-2.6204846294801314,0.19607546554205507
Ruby,12,0.04013377926421405,7,0.02681992337164751,-1.3313855892566537,NA
Scala,2,0.006688963210702341,2,0.007662835249042145,0.09738720383398042,NA
Spark,2,0.006688963210702341,2,0.007662835249042145,0.09738720383398042,NA
R,0,0,1,0.0038314176245210726,0.38314176245210724,NA
